
opening,18.300000000000182
endgame,351.0999999999999,-351.0999999999999
endgame,309.0999999999999,-309.0999999999999
endgame,286.0999999999999,-330.0999999999999
endgame,213.29999999999973,-213.29999999999973
endgame,214.29999999999973,-231.79999999999973
endgame,252.29999999999973,-254.29999999999973
endgame,253.79999999999973,-255.79999999999973
opening,-12.199999999999818,11.299999999999727
opening,-14.399999999999636,12.899999999999636
opening,13.600000000000364,-14.500000000000455
opening,21.600000000000364,-65.60000000000036
midgame,-18.399999999999636,16.899999999999636
midgame,-20.199999999999818,17.799999999999727
midgame,-23.399999999999636,22.499999999999545
midgame,-115.89999999999964,114.99999999999955
midgame,-159.0,158.89999999999964
endgame,-179.5999999999999,178.49999999999955
endgame,-199.0,199.0
endgame,-219.80000000000018,218.80000000000018
endgame,-221.80000000000018,221.80000000000018
endgame,-242.30000000000018,240.9000000000001
endgame,-263.5999999999999,263.0
endgame,-303.4000000000001,303.4000000000001
endgame,-333.49999999999955,332.39999999999964
endgame,-344.8000000000002,344.6999999999998
endgame,-365.0,365.0
endgame,-444.0,443.5
endgame,-485.3000000000002,485.3000000000002
opening,-12.199999999999818,11.299999999999727
opening,-24.399999999999636,22.899999999999636
opening,13.600000000000364,-15.100000000000364
opening,12.000000000000455,-12.500000000000455
midgame,40.000000000000455,-84.00000000000045
midgame,4.547473508864641e-13,-1.5000000000004547
midgame,-20.899999999999636,20.899999999999636
midgame,-39.19999999999982,-2.100000000000364
midgame,-43.399999999999636,37.899999999999636
endgame,-166.5,162.89999999999964
endgame,-188.5,188.5
endgame,-219.0,219.0
endgame,-229.80000000000018,228.80000000000018
endgame,-241.5999999999999,196.0
endgame,-253.19999999999982,208.5999999999999
endgame,-264.9000000000001,221.19999999999936
endgame,-285.0,241.39999999999964
endgame,-305.0,261.6999999999998
endgame,-374.2000000000003,330.5
endgame,-415.3000000000002,372.0
endgame,-485.0999999999999,441.4000000000001
endgame,-482.9000000000001,482.9000000000001
endgame,-486.9000000000001,486.9000000000001
endgame,-488.0,488.0
endgame,-489.5,489.2000000000003
endgame,-490.10000000000036,490.10000000000036
opening,-12.199999999999818,11.299999999999727
opening,-24.399999999999636,22.899999999999636
opening,13.600000000000364,-15.100000000000364
opening,11.600000000000364,-55.600000000000364
midgame,-28.399999999999636,26.899999999999636
midgame,-30.199999999999818,27.799999999999727
midgame,-33.399999999999636,32.499999999999545
midgame,-125.49999999999955,124.99999999999955
midgame,-139.49999999999955,132.99999999999955
endgame,-169.0999999999999,168.59999999999945
endgame,-189.0999999999999,189.0999999999999
endgame,-209.60000000000036,209.60000000000036
endgame,-231.30000000000018,226.79999999999973
endgame,-242.0,242.0
endgame,-282.0999999999999,280.5999999999999
endgame,-282.7999999999997,282.7999999999997
endgame,-285.2999999999997,284.7999999999997
endgame,-286.39999999999964,285.2999999999997
endgame,-315.5,315.5
endgame,-335.6999999999998,333.6999999999998
endgame,-424.6999999999998,420.6999999999998
endgame,-466.0,464.0
